Cluster 5,Cluster 10,Cluster 15,Cluster 20,Cluster 25,Cluster 30,Cluster 35,Cluster 40,Name,State,MSA,Total Population (2019),Population Change,Median Age,% Population in Labor Force,% Population in Poverty,% Population People of Color,$% Population with Bachelor's Degree,% Population Foreign Born,Net Domestic Migration,Higher Education Employment,Higher Education Establishments,Hospital Employment,Hospital Establishments,Higher Education Enrollment,High Research Doctoral Degree Institutions,Total Pell Grant Amounts Awarded,Hospitals/Community Hospitals,Hospital Beds,NIH Research Funding
1,2,10,4,3,8,1,29,Coeur d'Alene,ID,Coeur d'AleneID,157322,16.66357683665676,40.2,61,11.700000000000001,6.005517346588526,25.2,2.4,1744,821.14,6,1781.45,11,7176,0,1549471,4,426,0
4,8,8,10,6,1,6,7,Greenville-Anderson,SC,Greenville-AndersonSC,895942,0,38.6,62.1,13.5,23.29659732438037,29.599999999999998,6.2,5886,9795.21,29,18880.21,51,73260,1,14907400,14,2039,0
1,2,9,7,20,23,30,20,Utica-Rome,NY,Utica-RomeNY,292016,-2.2916701520753535,41.7,58.3,15.1,12.476028710755575,24.8,6.5,-603,3306.55,9,6726.94,14,25254,0,7893098,4,687,0
5,3,15,17,15,11,19,21,Flint,MI,FlintMI,407875,-5.81428644002826,40.5,58.3,18.9,25.24768617836347,21.2,2.5,-1748,4563.05999999999,8,6374.94,16,22328,0,3933323,4,1250,0
5,3,15,6,9,28,31,3,Longview,TX,LongviewTX,284796,35.47134988060468,37.6,57.9,16.5,22.999620781190746,19,7.000000000000001,104,2979.76,7,3261.34,16,11760,0,2877995,4,609,0
5,3,15,17,15,11,19,21,Dothan,AL,DothanAL,148252,3.877576759764012,41.1,55.60000000000001,18.4,27.60165124247902,19.5,2.1,366,1010.73,6,4410.02,7,980,0,326129,5,770,0
5,3,15,17,15,11,19,12,Muncie,IN,MuncieIN,115020,-1.9805017725661345,35.6,58.599999999999994,21.9,11.612762997739523,23.7,2.1,-459,3913.86,2,1755.62,5,25042,1,6936153,2,364,0
1,2,9,8,10,25,3,32,Youngstown-Warren-Boardman,OH-PA,Youngstown-Warren-BoardmanOH-PA,541846,-5.267537916866994,44.1,57.699999999999996,16.7,14.664129660457032,21.9,1.9,-920,3345.96,11,8899.06,30,24395,0,8787735,13,1564,0
4,8,14,1,18,5,32,8,Charlottesville,VA,CharlottesvilleVA,215445,9.208278630771648,38.3,62.7,11.899999999999999,20.215832347002717,48.1,8.9,38,4295.21999999999,10,10912.43,7,35771,1,3043508,3,806,0
5,3,8,16,12,29,27,5,Jonesboro,AR,JonesboroAR,131241,11.191032940219593,35.1,62.1,17.5,19.458858131224236,23.3,3.5000000000000004,-485,2551.57,5,4145.23,7,19085,1,3381778,4,725,0
5,8,2,14,1,9,11,12,Lubbock,TX,LubbockTX,316474,14.606774124625632,31,64.9,18.9,17.662430405025372,29.5,5.8999999999999995,186,8173.37,13,6757.06,12,51120,1,8103565,10,1370,0
1,8,10,4,3,24,16,39,Eau Claire,WI,Eau ClaireWI,167406,5.388203743224618,37,67.2,12.5,6.919106842048672,27.700000000000003,2.9000000000000004,481,3915.89,6,4391.78,8,24639,0,4022255,7,611,0
4,8,14,11,4,17,25,16,Midland,TX,MidlandTX,173816,31.57611863470171,31.7,70.6,9.5,17.925277304736042,27.1,13.4,295,843.12,3,1833.56,10,9248,0,798860,3,342,0
4,8,2,1,18,26,18,18,Manhattan,KS,ManhattanKS,132928,10.448430865869573,26.6,70.6,17.1,19.248013962445835,37.3,6.800000000000001,-2805,5332.07,7,1294.33,7,26198,1,3654005,5,318,0
5,3,8,11,12,29,25,28,Clarksville,TN-KY,ClarksvilleTN-KY,299470,13.637484774087305,31.1,64.3,14.7,27.323605035562824,24.8,4.1000000000000005,106,2473.56,12,4023.71,9,18760,0,6685669,3,329,0
1,6,10,4,17,2,26,6,Barnstable Town,MA,Barnstable TownMA,213496,-1.8332467365265281,53.3,59.8,6.4,8.350039344999438,43.4,8,-575,1204.66,9,4059.33,13,6525,0,887583,3,414,0
4,1,12,19,19,10,22,24,Indianapolis-Carmel-Anderson,IN,Indianapolis-Carmel-AndersonIN,2029472,18.180891758319518,36.5,67.30000000000001,12.4,23.369575929108656,34.699999999999996,7.000000000000001,-1994,30039.42,38,54164.0499999999,89,293326,1,32896712,28,5428,0
1,2,9,7,20,23,3,40,Jackson,MI,JacksonMI,158636,-1.815323484084197,41.2,56.89999999999999,13.8,12.686275498625784,22.2,1.9,363,884.72,4,2573.14,2,11449,0,2189935,2,448,0
5,3,15,16,12,29,27,12,Waco,TX,WacoTX,268361,16.88858689734174,33.7,60.099999999999994,19.6,22.001334023945358,23.400000000000002,8.200000000000001,1437,4463.64,11,4178.51,16,47753,1,10642934,3,542,0
5,5,3,5,8,15,10,15,Merced,CA,MercedCA,271382,8.25013262916885,31.1,59.699999999999996,21.2,44.935920584268665,13.8,26.3,-752,3179.46,2,1671.49,5,24866,1,12457808,2,230,0
5,2,8,16,7,29,16,5,Watertown-Fort Drum,NY,Watertown-Fort DrumNY,112842,0,32.5,63.7,14.000000000000002,13.642083621346663,22.2,4,-1916,376.8,3,2074.02,3,4559,0,1905139,3,231,0
1,6,13,12,17,18,33,30,Prescott Valley-Prescott,AZ,Prescott Valley-PrescottAZ,228067,8.987384115454455,53.4,48,13,8.689990222171556,25.900000000000002,6.2,3489,1537.92999999999,5,3121.33,8,13800,0,2131198,3,309,0
4,8,10,4,22,24,17,39,Harrisburg-Carlisle,PA,Harrisburg-CarlislePA,571013,5.400012551729749,40.4,65.4,9.8,20.031768103353166,32.2,6.5,1776,6774.28,14,17514.96,16,54170,0,7681337,8,1975,0
1,2,9,8,10,25,3,32,Huntington-Ashland,WV-KY-OH,Huntington-AshlandWV-KY-OH,361832,26.024687230070498,41.4,51.6,18.9,5.249397510446837,20.1,1.0999999999999999,-1919,3628.43,15,10750.46,15,28950,1,7098207,6,1256,0
1,2,8,16,7,7,30,26,Rockford,IL,RockfordIL,338356,-2.6422933829009065,39.5,64.4,14.7,19.8433011384459,23,8.7,-1609,1188.32,6,8553,8,16662,0,2897195,4,859,0
5,3,15,17,15,11,19,21,Texarkana,TX-AR,TexarkanaTX-AR,149292,11.041525656950313,38.6,54,17.599999999999998,30.258821638131984,18.8,3,38,689.54,8,2971.49,9,8267,0,2434740,6,697,0
5,2,8,16,7,22,27,9,Dalton,GA,DaltonGA,143961,2.950620374012236,36.5,62.1,15.8,9.098297455560882,14.099999999999998,15.5,-106,622.75,1,1999.07,6,6004,0,2409687,2,239,0
5,8,8,11,7,22,27,9,Kennewick-Richland,WA,Kennewick-RichlandWA,289527,21.44283281461037,33.9,63.3,12.9,21.56931823284184,27,14.499999999999998,912,1762.84,11,3998.22999999999,10,10190,0,1942590,4,447,0
1,2,10,4,3,24,17,29,Oshkosh-Neenah,WI,Oshkosh-NeenahWI,170411,3.2593678801686954,38.3,65.10000000000001,11.3,8.24594656448234,28.299999999999997,3.5000000000000004,-382,3640.85,3,2175.41,5,19293,0,2930422,4,384,0
